Episode: 0, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 60.99, Median Loss: 60.99, Std Loss: 60.99, Mean Reward: 0.44, Median Reward: 2.00, Std Reward: 37.50
Episode: 30, step: 9, Pop: 6/5, Epsilon: 0.88, Mean Loss: 66.38, Median Loss: 66.38, Std Loss: 66.38, Mean Reward: -0.34, Median Reward: 0.00, Std Reward: -27.00
Episode: 31, step: 9, Pop: 5/5, Epsilon: 0.87, Mean Loss: 28.96, Median Loss: 28.96, Std Loss: 28.96, Mean Reward: -2.48, Median Reward: 0.00, Std Reward: -193.80
Episode: 32, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 56.23, Median Loss: 56.23, Std Loss: 56.23, Mean Reward: 2.36, Median Reward: 2.00, Std Reward: 205.00
Episode: 33, step: 9, Pop: 6/5, Epsilon: 0.87, Mean Loss: 27.47, Median Loss: 27.47, Std Loss: 27.47, Mean Reward: -0.76, Median Reward: 0.00, Std Reward: -63.10
Episode: 34, step: 9, Pop: 6/5, Epsilon: 0.86, Mean Loss: 25.45, Median Loss: 25.45, Std Loss: 25.45, Mean Reward: -1.67, Median Reward: 1.00, Std Reward: -140.00
Episode: 35, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 78.01, Median Loss: 78.01, Std Loss: 78.01, Mean Reward: -1.69, Median Reward: 0.00, Std Reward: -136.80
Episode: 36, step: 9, Pop: 5/5, Epsilon: 0.86, Mean Loss: 65.91, Median Loss: 65.91, Std Loss: 65.91, Mean Reward: -1.06, Median Reward: 0.00, Std Reward: -82.00
Episode: 37, step: 9, Pop: 8/5, Epsilon: 0.85, Mean Loss: 49.31, Median Loss: 49.31, Std Loss: 49.31, Mean Reward: -0.76, Median Reward: 2.00, Std Reward: -67.00
Episode: 38, step: 9, Pop: 9/5, Epsilon: 0.85, Mean Loss: 68.46, Median Loss: 68.46, Std Loss: 68.46, Mean Reward: 0.41, Median Reward: 0.00, Std Reward: 37.20
Episode: 39, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 42.50, Median Loss: 42.50, Std Loss: 42.50, Mean Reward: 0.50, Median Reward: 0.00, Std Reward: 44.20
Episode: 40, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 38.00, Median Loss: 38.00, Std Loss: 38.00, Mean Reward: -0.98, Median Reward: 0.00, Std Reward: -89.10
Episode: 41, step: 9, Pop: 7/5, Epsilon: 0.84, Mean Loss: 55.35, Median Loss: 55.35, Std Loss: 55.35, Mean Reward: -1.42, Median Reward: 0.00, Std Reward: -139.40
Episode: 42, step: 9, Pop: 9/5, Epsilon: 0.83, Mean Loss: 36.96, Median Loss: 36.96, Std Loss: 36.96, Mean Reward: -0.82, Median Reward: 0.00, Std Reward: -80.20
Episode: 43, step: 9, Pop: 5/5, Epsilon: 0.83, Mean Loss: 75.07, Median Loss: 75.07, Std Loss: 75.07, Mean Reward: -0.17, Median Reward: 2.00, Std Reward: -13.00
Episode: 44, step: 9, Pop: 7/5, Epsilon: 0.83, Mean Loss: 74.54, Median Loss: 74.54, Std Loss: 74.54, Mean Reward: 1.39, Median Reward: 2.00, Std Reward: 118.00
Episode: 45, step: 9, Pop: 9/5, Epsilon: 0.82, Mean Loss: 56.71, Median Loss: 56.71, Std Loss: 56.71, Mean Reward: 1.82, Median Reward: 2.00, Std Reward: 175.10
Episode: 46, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 37.48, Median Loss: 37.48, Std Loss: 37.48, Mean Reward: -2.08, Median Reward: 0.00, Std Reward: -191.10
Episode: 47, step: 9, Pop: 8/5, Epsilon: 0.82, Mean Loss: 22.51, Median Loss: 22.51, Std Loss: 22.51, Mean Reward: -1.15, Median Reward: 0.00, Std Reward: -97.50
Episode: 48, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 52.19, Median Loss: 52.19, Std Loss: 52.19, Mean Reward: 0.38, Median Reward: 0.00, Std Reward: 28.90
Episode: 49, step: 9, Pop: 6/5, Epsilon: 0.81, Mean Loss: 73.18, Median Loss: 73.18, Std Loss: 73.18, Mean Reward: 1.74, Median Reward: 2.00, Std Reward: 126.70
Episode: 50, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 73.38, Median Loss: 73.38, Std Loss: 73.38, Mean Reward: -1.32, Median Reward: 0.00, Std Reward: -116.30
Episode: 51, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 40.31, Median Loss: 40.31, Std Loss: 40.31, Mean Reward: -1.34, Median Reward: 0.00, Std Reward: -108.70
Episode: 52, step: 9, Pop: 6/5, Epsilon: 0.80, Mean Loss: 46.36, Median Loss: 46.36, Std Loss: 46.36, Mean Reward: 0.64, Median Reward: 0.00, Std Reward: 49.00
Episode: 53, step: 9, Pop: 9/5, Epsilon: 0.80, Mean Loss: 73.04, Median Loss: 73.04, Std Loss: 73.04, Mean Reward: -0.34, Median Reward: 2.00, Std Reward: -31.00
Episode: 54, step: 9, Pop: 6/5, Epsilon: 0.79, Mean Loss: 68.98, Median Loss: 68.98, Std Loss: 68.98, Mean Reward: 0.63, Median Reward: 2.00, Std Reward: 43.50
Episode: 55, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 46.77, Median Loss: 46.77, Std Loss: 46.77, Mean Reward: 0.02, Median Reward: 0.00, Std Reward: 1.60
Episode: 56, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 45.11, Median Loss: 45.11, Std Loss: 45.11, Mean Reward: -0.28, Median Reward: 2.00, Std Reward: -25.80
Episode: 57, step: 9, Pop: 6/5, Epsilon: 0.78, Mean Loss: 34.85, Median Loss: 34.85, Std Loss: 34.85, Mean Reward: -1.81, Median Reward: 0.00, Std Reward: -136.00
Episode: 58, step: 9, Pop: 7/5, Epsilon: 0.78, Mean Loss: 59.01, Median Loss: 59.01, Std Loss: 59.01, Mean Reward: -1.47, Median Reward: 0.00, Std Reward: -114.90
Episode: 59, step: 9, Pop: 5/5, Epsilon: 0.78, Mean Loss: 65.49, Median Loss: 65.49, Std Loss: 65.49, Mean Reward: -1.27, Median Reward: 0.00, Std Reward: -101.90
Episode: 60, step: 9, Pop: 4/5, Epsilon: 0.77, Mean Loss: 47.65, Median Loss: 47.65, Std Loss: 47.65, Mean Reward: -0.88, Median Reward: 0.00, Std Reward: -53.60
Episode: 61, step: 9, Pop: 9/5, Epsilon: 0.77, Mean Loss: 78.02, Median Loss: 78.02, Std Loss: 78.02, Mean Reward: -0.97, Median Reward: 0.00, Std Reward: -94.80
Episode: 62, step: 9, Pop: 3/5, Epsilon: 0.77, Mean Loss: 27.31, Median Loss: 27.31, Std Loss: 27.31, Mean Reward: -0.25, Median Reward: 0.00, Std Reward: -13.00
Episode: 63, step: 9, Pop: 9/5, Epsilon: 0.76, Mean Loss: 58.40, Median Loss: 58.40, Std Loss: 58.40, Mean Reward: -0.18, Median Reward: 2.00, Std Reward: -16.60
Episode: 64, step: 9, Pop: 8/5, Epsilon: 0.76, Mean Loss: 25.89, Median Loss: 25.89, Std Loss: 25.89, Mean Reward: 1.14, Median Reward: 2.00, Std Reward: 100.70
Episode: 65, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 38.56, Median Loss: 38.56, Std Loss: 38.56, Mean Reward: -0.01, Median Reward: 0.00, Std Reward: -0.80
Episode: 66, step: 9, Pop: 8/5, Epsilon: 0.75, Mean Loss: 68.54, Median Loss: 68.54, Std Loss: 68.54, Mean Reward: -1.44, Median Reward: 0.00, Std Reward: -128.30
Episode: 67, step: 9, Pop: 9/5, Epsilon: 0.75, Mean Loss: 60.46, Median Loss: 60.46, Std Loss: 60.46, Mean Reward: -0.31, Median Reward: 0.00, Std Reward: -29.70
Episode: 68, step: 9, Pop: 6/5, Epsilon: 0.75, Mean Loss: 85.54, Median Loss: 85.54, Std Loss: 85.54, Mean Reward: -0.43, Median Reward: 0.00, Std Reward: -32.90
Episode: 69, step: 9, Pop: 7/5, Epsilon: 0.74, Mean Loss: 61.77, Median Loss: 61.77, Std Loss: 61.77, Mean Reward: 2.25, Median Reward: 2.00, Std Reward: 184.60
Episode: 70, step: 9, Pop: 8/5, Epsilon: 0.74, Mean Loss: 69.69, Median Loss: 69.69, Std Loss: 69.69, Mean Reward: 1.51, Median Reward: 2.00, Std Reward: 128.70
Episode: 71, step: 9, Pop: 6/5, Epsilon: 0.74, Mean Loss: 42.99, Median Loss: 42.99, Std Loss: 42.99, Mean Reward: -1.92, Median Reward: 0.00, Std Reward: -138.50
Episode: 72, step: 9, Pop: 8/5, Epsilon: 0.73, Mean Loss: 83.83, Median Loss: 83.83, Std Loss: 83.83, Mean Reward: 1.64, Median Reward: 2.00, Std Reward: 141.30
Episode: 73, step: 9, Pop: 8/5, Epsilon: 0.73, Mean Loss: 39.66, Median Loss: 39.66, Std Loss: 39.66, Mean Reward: 0.66, Median Reward: 1.00, Std Reward: 57.80
Episode: 74, step: 9, Pop: 5/5, Epsilon: 0.73, Mean Loss: 34.35, Median Loss: 34.35, Std Loss: 34.35, Mean Reward: 0.31, Median Reward: 0.00, Std Reward: 22.00
Episode: 75, step: 9, Pop: 8/5, Epsilon: 0.72, Mean Loss: 48.70, Median Loss: 48.70, Std Loss: 48.70, Mean Reward: -0.01, Median Reward: 2.00, Std Reward: -0.90
Episode: 76, step: 9, Pop: 5/5, Epsilon: 0.72, Mean Loss: 50.33, Median Loss: 50.33, Std Loss: 50.33, Mean Reward: 2.28, Median Reward: 2.00, Std Reward: 175.40
Episode: 77, step: 9, Pop: 8/5, Epsilon: 0.72, Mean Loss: 22.50, Median Loss: 22.50, Std Loss: 22.50, Mean Reward: -1.08, Median Reward: 0.00, Std Reward: -98.50
Episode: 78, step: 9, Pop: 9/5, Epsilon: 0.71, Mean Loss: 47.68, Median Loss: 47.68, Std Loss: 47.68, Mean Reward: -0.29, Median Reward: 0.00, Std Reward: -27.80
Episode: 79, step: 9, Pop: 7/5, Epsilon: 0.71, Mean Loss: 60.03, Median Loss: 60.03, Std Loss: 60.03, Mean Reward: -0.21, Median Reward: 0.00, Std Reward: -17.20
Episode: 80, step: 9, Pop: 7/5, Epsilon: 0.71, Mean Loss: 53.71, Median Loss: 53.71, Std Loss: 53.71, Mean Reward: -1.54, Median Reward: 0.00, Std Reward: -134.00
Episode: 81, step: 9, Pop: 8/5, Epsilon: 0.71, Mean Loss: 55.26, Median Loss: 55.26, Std Loss: 55.26, Mean Reward: -2.30, Median Reward: 0.00, Std Reward: -198.00
Episode: 82, step: 9, Pop: 9/5, Epsilon: 0.70, Mean Loss: 63.74, Median Loss: 63.74, Std Loss: 63.74, Mean Reward: -0.64, Median Reward: 0.00, Std Reward: -61.20
Episode: 83, step: 9, Pop: 6/5, Epsilon: 0.70, Mean Loss: 52.24, Median Loss: 52.24, Std Loss: 52.24, Mean Reward: -1.56, Median Reward: 0.00, Std Reward: -119.90
Episode: 84, step: 9, Pop: 8/5, Epsilon: 0.70, Mean Loss: 32.53, Median Loss: 32.53, Std Loss: 32.53, Mean Reward: -0.18, Median Reward: 0.00, Std Reward: -17.60
Episode: 85, step: 9, Pop: 7/5, Epsilon: 0.69, Mean Loss: 71.06, Median Loss: 71.06, Std Loss: 71.06, Mean Reward: 0.72, Median Reward: 2.00, Std Reward: 59.20
Episode: 86, step: 9, Pop: 4/5, Epsilon: 0.69, Mean Loss: 64.39, Median Loss: 64.39, Std Loss: 64.39, Mean Reward: -1.15, Median Reward: 0.00, Std Reward: -71.00
Episode: 87, step: 9, Pop: 7/5, Epsilon: 0.69, Mean Loss: 57.50, Median Loss: 57.50, Std Loss: 57.50, Mean Reward: 0.77, Median Reward: 2.00, Std Reward: 61.60
Episode: 88, step: 9, Pop: 9/5, Epsilon: 0.68, Mean Loss: 53.09, Median Loss: 53.09, Std Loss: 53.09, Mean Reward: -0.73, Median Reward: 0.00, Std Reward: -66.60
Episode: 89, step: 9, Pop: 8/5, Epsilon: 0.68, Mean Loss: 39.93, Median Loss: 39.93, Std Loss: 39.93, Mean Reward: 0.39, Median Reward: 0.00, Std Reward: 33.70
Episode: 90, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 75.07, Median Loss: 75.07, Std Loss: 75.07, Mean Reward: 0.49, Median Reward: 2.00, Std Reward: 37.40
Episode: 91, step: 9, Pop: 8/5, Epsilon: 0.68, Mean Loss: 70.25, Median Loss: 70.25, Std Loss: 70.25, Mean Reward: -0.30, Median Reward: 2.00, Std Reward: -26.00
Episode: 92, step: 9, Pop: 6/5, Epsilon: 0.67, Mean Loss: 45.74, Median Loss: 45.74, Std Loss: 45.74, Mean Reward: 0.60, Median Reward: 2.00, Std Reward: 46.50
Episode: 93, step: 9, Pop: 8/5, Epsilon: 0.67, Mean Loss: 62.25, Median Loss: 62.25, Std Loss: 62.25, Mean Reward: 1.29, Median Reward: 2.00, Std Reward: 115.90
Episode: 94, step: 9, Pop: 6/5, Epsilon: 0.67, Mean Loss: 59.51, Median Loss: 59.51, Std Loss: 59.51, Mean Reward: -0.67, Median Reward: 0.00, Std Reward: -53.00
Episode: 95, step: 9, Pop: 7/5, Epsilon: 0.67, Mean Loss: 60.43, Median Loss: 60.43, Std Loss: 60.43, Mean Reward: 0.80, Median Reward: 0.00, Std Reward: 66.50
Episode: 96, step: 9, Pop: 6/5, Epsilon: 0.66, Mean Loss: 43.57, Median Loss: 43.57, Std Loss: 43.57, Mean Reward: -2.03, Median Reward: 0.00, Std Reward: -136.00
Episode: 97, step: 9, Pop: 7/5, Epsilon: 0.66, Mean Loss: 69.65, Median Loss: 69.65, Std Loss: 69.65, Mean Reward: -1.81, Median Reward: 0.00, Std Reward: -154.00
Episode: 98, step: 9, Pop: 7/5, Epsilon: 0.65, Mean Loss: 65.05, Median Loss: 65.05, Std Loss: 65.05, Mean Reward: 2.79, Median Reward: 2.00, Std Reward: 206.10
Episode: 99, step: 9, Pop: 5/5, Epsilon: 0.65, Mean Loss: 44.75, Median Loss: 44.75, Std Loss: 44.75, Mean Reward: 0.12, Median Reward: 2.00, Std Reward: 9.00
Episode: 100, step: 9, Pop: 7/5, Epsilon: 0.65, Mean Loss: 44.16, Median Loss: 44.16, Std Loss: 44.16, Mean Reward: 2.05, Median Reward: 2.00, Std Reward: 159.60
Episode: 101, step: 9, Pop: 6/5, Epsilon: 0.65, Mean Loss: 66.51, Median Loss: 66.51, Std Loss: 66.51, Mean Reward: 0.44, Median Reward: 2.00, Std Reward: 32.70
Episode: 102, step: 9, Pop: 6/5, Epsilon: 0.64, Mean Loss: 29.77, Median Loss: 29.77, Std Loss: 29.77, Mean Reward: -0.16, Median Reward: 2.00, Std Reward: -12.20
Episode: 103, step: 9, Pop: 8/5, Epsilon: 0.64, Mean Loss: 59.24, Median Loss: 59.24, Std Loss: 59.24, Mean Reward: 0.12, Median Reward: 0.00, Std Reward: 9.90
Episode: 104, step: 9, Pop: 9/5, Epsilon: 0.64, Mean Loss: 33.79, Median Loss: 33.79, Std Loss: 33.79, Mean Reward: 1.99, Median Reward: 2.00, Std Reward: 183.30
Episode: 105, step: 9, Pop: 5/5, Epsilon: 0.64, Mean Loss: 32.60, Median Loss: 32.60, Std Loss: 32.60, Mean Reward: -2.03, Median Reward: 0.00, Std Reward: -131.90
Episode: 106, step: 9, Pop: 8/5, Epsilon: 0.63, Mean Loss: 70.77, Median Loss: 70.77, Std Loss: 70.77, Mean Reward: 2.04, Median Reward: 2.00, Std Reward: 177.80
Episode: 107, step: 9, Pop: 6/5, Epsilon: 0.63, Mean Loss: 45.64, Median Loss: 45.64, Std Loss: 45.64, Mean Reward: -0.72, Median Reward: 0.00, Std Reward: -56.40
Episode: 108, step: 9, Pop: 7/5, Epsilon: 0.63, Mean Loss: 52.61, Median Loss: 52.61, Std Loss: 52.61, Mean Reward: -0.26, Median Reward: 0.00, Std Reward: -22.40
Episode: 109, step: 9, Pop: 8/5, Epsilon: 0.63, Mean Loss: 60.30, Median Loss: 60.30, Std Loss: 60.30, Mean Reward: 0.44, Median Reward: 2.00, Std Reward: 38.30
Episode: 110, step: 9, Pop: 9/5, Epsilon: 0.62, Mean Loss: 40.72, Median Loss: 40.72, Std Loss: 40.72, Mean Reward: -0.27, Median Reward: 0.00, Std Reward: -25.00
Episode: 111, step: 9, Pop: 7/5, Epsilon: 0.62, Mean Loss: 23.00, Median Loss: 23.00, Std Loss: 23.00, Mean Reward: -0.70, Median Reward: 1.00, Std Reward: -56.40
Episode: 112, step: 9, Pop: 8/5, Epsilon: 0.62, Mean Loss: 42.42, Median Loss: 42.42, Std Loss: 42.42, Mean Reward: -0.08, Median Reward: 2.00, Std Reward: -7.40
Episode: 113, step: 9, Pop: 8/5, Epsilon: 0.61, Mean Loss: 51.76, Median Loss: 51.76, Std Loss: 51.76, Mean Reward: 1.51, Median Reward: 2.00, Std Reward: 127.10
Episode: 114, step: 9, Pop: 7/5, Epsilon: 0.61, Mean Loss: 58.51, Median Loss: 58.51, Std Loss: 58.51, Mean Reward: 0.98, Median Reward: 2.00, Std Reward: 78.50
Episode: 115, step: 9, Pop: 8/5, Epsilon: 0.61, Mean Loss: 29.08, Median Loss: 29.08, Std Loss: 29.08, Mean Reward: -1.08, Median Reward: 0.00, Std Reward: -92.00
Episode: 116, step: 9, Pop: 8/5, Epsilon: 0.61, Mean Loss: 59.55, Median Loss: 59.55, Std Loss: 59.55, Mean Reward: -0.79, Median Reward: 0.00, Std Reward: -66.70
Episode: 117, step: 9, Pop: 8/5, Epsilon: 0.60, Mean Loss: 33.24, Median Loss: 33.24, Std Loss: 33.24, Mean Reward: 1.71, Median Reward: 2.00, Std Reward: 162.70
Episode: 118, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 35.45, Median Loss: 35.45, Std Loss: 35.45, Mean Reward: -0.81, Median Reward: 0.00, Std Reward: -71.00
Episode: 119, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 41.99, Median Loss: 41.99, Std Loss: 41.99, Mean Reward: 0.48, Median Reward: 2.00, Std Reward: 43.10
Episode: 120, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 47.65, Median Loss: 47.65, Std Loss: 47.65, Mean Reward: -0.73, Median Reward: 2.00, Std Reward: -65.40
Episode: 121, step: 9, Pop: 6/5, Epsilon: 0.59, Mean Loss: 49.45, Median Loss: 49.45, Std Loss: 49.45, Mean Reward: -1.21, Median Reward: 0.00, Std Reward: -101.80
Episode: 122, step: 9, Pop: 8/5, Epsilon: 0.59, Mean Loss: 71.84, Median Loss: 71.84, Std Loss: 71.84, Mean Reward: 1.20, Median Reward: 2.00, Std Reward: 107.00
Episode: 123, step: 9, Pop: 9/5, Epsilon: 0.59, Mean Loss: 66.33, Median Loss: 66.33, Std Loss: 66.33, Mean Reward: 1.91, Median Reward: 2.00, Std Reward: 172.20
Episode: 124, step: 9, Pop: 6/5, Epsilon: 0.59, Mean Loss: 48.92, Median Loss: 48.92, Std Loss: 48.92, Mean Reward: 0.06, Median Reward: 2.00, Std Reward: 4.90
Episode: 125, step: 9, Pop: 5/5, Epsilon: 0.58, Mean Loss: 56.56, Median Loss: 56.56, Std Loss: 56.56, Mean Reward: -1.25, Median Reward: 0.00, Std Reward: -98.60
Episode: 126, step: 9, Pop: 5/5, Epsilon: 0.58, Mean Loss: 42.25, Median Loss: 42.25, Std Loss: 42.25, Mean Reward: 0.74, Median Reward: 2.00, Std Reward: 50.40
Episode: 127, step: 9, Pop: 8/5, Epsilon: 0.58, Mean Loss: 33.36, Median Loss: 33.36, Std Loss: 33.36, Mean Reward: -0.73, Median Reward: 2.00, Std Reward: -64.00
Episode: 128, step: 9, Pop: 6/5, Epsilon: 0.58, Mean Loss: 39.71, Median Loss: 39.71, Std Loss: 39.71, Mean Reward: 3.98, Median Reward: 4.00, Std Reward: 274.70
Episode: 129, step: 9, Pop: 7/5, Epsilon: 0.58, Mean Loss: 62.58, Median Loss: 62.58, Std Loss: 62.58, Mean Reward: 0.24, Median Reward: 2.00, Std Reward: 19.50
Episode: 130, step: 9, Pop: 6/5, Epsilon: 0.57, Mean Loss: 53.67, Median Loss: 53.67, Std Loss: 53.67, Mean Reward: -1.75, Median Reward: 0.00, Std Reward: -131.30
Episode: 131, step: 9, Pop: 6/5, Epsilon: 0.57, Mean Loss: 37.78, Median Loss: 37.78, Std Loss: 37.78, Mean Reward: -1.70, Median Reward: 0.00, Std Reward: -154.50
Episode: 132, step: 9, Pop: 6/5, Epsilon: 0.57, Mean Loss: 31.59, Median Loss: 31.59, Std Loss: 31.59, Mean Reward: -1.23, Median Reward: 0.00, Std Reward: -113.40
Episode: 133, step: 9, Pop: 5/5, Epsilon: 0.57, Mean Loss: 45.71, Median Loss: 45.71, Std Loss: 45.71, Mean Reward: 1.05, Median Reward: 2.00, Std Reward: 72.40
Episode: 134, step: 9, Pop: 4/5, Epsilon: 0.56, Mean Loss: 39.75, Median Loss: 39.75, Std Loss: 39.75, Mean Reward: -0.07, Median Reward: 1.00, Std Reward: -4.30
Episode: 135, step: 9, Pop: 7/5, Epsilon: 0.56, Mean Loss: 52.00, Median Loss: 52.00, Std Loss: 52.00, Mean Reward: 2.08, Median Reward: 4.00, Std Reward: 158.20
Episode: 136, step: 9, Pop: 7/5, Epsilon: 0.56, Mean Loss: 45.56, Median Loss: 45.56, Std Loss: 45.56, Mean Reward: -1.19, Median Reward: 0.00, Std Reward: -100.00
Episode: 137, step: 9, Pop: 7/5, Epsilon: 0.55, Mean Loss: 44.02, Median Loss: 44.02, Std Loss: 44.02, Mean Reward: -0.40, Median Reward: 0.00, Std Reward: -33.20
Episode: 138, step: 9, Pop: 5/5, Epsilon: 0.55, Mean Loss: 65.59, Median Loss: 65.59, Std Loss: 65.59, Mean Reward: -1.07, Median Reward: 0.00, Std Reward: -80.10
